"","APMC","Commodity","Type"
"2376","pune-manjri","tomato","Multiplicative"
"2377","pune-pimpri","tomato","Multiplicative"
"2378","panvel","tomato","Multiplicative"
"2379","ratanagari","tomato","Multiplicative"
"2380","islampur","tomato","Multiplicative"
"2381","vita","tomato","Multiplicative"
"2382","karad","tomato","Multiplicative"
"2383","patan","tomato","Multiplicative"
"2384","satara","tomato","Multiplicative"
"2385","vai","tomato","Multiplicative"
"2386","akluj","tomato","Multiplicative"
"2387","barshi","tomato","Multiplicative"
"2388","mangalwedha","tomato","Multiplicative"
"2389","pandharpur","tomato","Multiplicative"
"2390","solapur","tomato","Multiplicative"
"2391","kalyan","tomato","Multiplicative"
"2392","murbad","tomato","Multiplicative"
"2393","vasai","tomato","Multiplicative"
"2394","pune","tuljapuri","Multiplicative"
"2395","basmat","turmeric","Multiplicative"
"2396","akhadabalapur","turmeric","Multiplicative"
"2397","hingoli","turmeric","Multiplicative"
"2398","bhokar","turmeric","Multiplicative"
"2399","loha","turmeric","Multiplicative"
"2400","nanded","turmeric","Multiplicative"
"2401","tuljapur","turmeric","Multiplicative"
"2402","jintur","turmeric","Multiplicative"
"2403","purna","turmeric","Multiplicative"
"2404","pune","turmeric","Multiplicative"
"2405","sangali","turmeric","Multiplicative"
"2406","barshi","turmeric","Multiplicative"
"2407","aurangabad","wal bhaji","Multiplicative"
"2408","chandrapur-ganjwad","wal bhaji","Multiplicative"
"2409","kamthi","wal bhaji","Multiplicative"
"2410","nagpur","wal bhaji","Multiplicative"
"2411","pune","wal bhaji","Multiplicative"
"2412","jalgaon","wal papdi","Multiplicative"
"2413","nashik","wal papdi","Multiplicative"
"2414","pune","wal papdi","Multiplicative"
"2415","pune-pimpri","wal papdi","Multiplicative"
"2416","manchar","wal papdi","Multiplicative"
"2417","rahata","walvad","Multiplicative"
"2418","kalmeshwar","walvad","Multiplicative"
"2419","khed (shel pimpalgaon)","walvad","Multiplicative"
"2420","manchar","walvad","Multiplicative"
"2421","pune","walvad","Multiplicative"
"2422","pune-manjri","walvad","Multiplicative"
"2423","pune-pimpri","walvad","Multiplicative"
"2424","shrirampur","water melon","Multiplicative"
"2425","mumbai","water melon","Multiplicative"
"2426","akluj","water melon","Multiplicative"
"2427","akole","wheat(husked)","Multiplicative"
"2428","kopargaon","wheat(husked)","Multiplicative"
"2429","newasa","wheat(husked)","Multiplicative"
"2430","pathardi","wheat(husked)","Multiplicative"
"2431","rahata","wheat(husked)","Multiplicative"
"2432","rahuri","wheat(husked)","Multiplicative"
"2433","rahuri-vambori","wheat(husked)","Multiplicative"
"2434","sangamner","wheat(husked)","Multiplicative"
"2435","shevgaon","wheat(husked)","Multiplicative"
"2436","shevgaon-bodhegaon","wheat(husked)","Multiplicative"
"2437","shrirampur","wheat(husked)","Multiplicative"
"2438","ahmednagar","wheat(husked)","Multiplicative"
"2439","akola","wheat(husked)","Multiplicative"
"2440","murtizapur","wheat(husked)","Multiplicative"
"2441","telhara","wheat(husked)","Multiplicative"
"2442","patur","wheat(husked)","Multiplicative"
"2443","achalpur","wheat(husked)","Multiplicative"
"2444","amarawati","wheat(husked)","Multiplicative"
"2445","anajngaon surji","wheat(husked)","Multiplicative"
"2446","chandur bajar","wheat(husked)","Multiplicative"
"2447","chandur rly.","wheat(husked)","Multiplicative"
"2448","dhamangaon-rly","wheat(husked)","Multiplicative"
"2449","morshi","wheat(husked)","Multiplicative"
"2450","varud-rajura bazar","wheat(husked)","Multiplicative"
"2451","aurangabad","wheat(husked)","Multiplicative"
"2452","gangapur","wheat(husked)","Multiplicative"
"2453","kannad","wheat(husked)","Multiplicative"
"2454","paithan","wheat(husked)","Multiplicative"
"2455","vaijapur","wheat(husked)","Multiplicative"
"2456","lasur station","wheat(husked)","Multiplicative"
"2457","sillod","wheat(husked)","Multiplicative"
"2458","sillod-bharadi","wheat(husked)","Multiplicative"
"2459","ambejogai","wheat(husked)","Multiplicative"
"2460","beed","wheat(husked)","Multiplicative"
"2461","gevrai","wheat(husked)","Multiplicative"
"2462","kada","wheat(husked)","Multiplicative"
"2463","kej","wheat(husked)","Multiplicative"
"2464","kille dharur","wheat(husked)","Multiplicative"
"2465","majalgaon","wheat(husked)","Multiplicative"
"2466","parli-vaijnath","wheat(husked)","Multiplicative"
"2467","bhandara","wheat(husked)","Multiplicative"
"2468","pavani","wheat(husked)","Multiplicative"
"2469","tumsar","wheat(husked)","Multiplicative"
"2470","buldhana","wheat(husked)","Multiplicative"
"2471","chikhali","wheat(husked)","Multiplicative"
"2472","jalgaon jamod","wheat(husked)","Multiplicative"
"2473","jalgaon jamod-aasalgaon","wheat(husked)","Multiplicative"
"2474","khamgaon","wheat(husked)","Multiplicative"
"2475","lonar","wheat(husked)","Multiplicative"
"2476","malkapur","wheat(husked)","Multiplicative"
"2477","mehkar","wheat(husked)","Multiplicative"
"2478","nandura","wheat(husked)","Multiplicative"
"2479","sangrampur","wheat(husked)","Multiplicative"
"2480","shegaon","wheat(husked)","Multiplicative"
"2481","dhule","wheat(husked)","Multiplicative"
"2482","dondaicha","wheat(husked)","Multiplicative"
"2483","sakri","wheat(husked)","Multiplicative"
"2484","shirpur","wheat(husked)","Multiplicative"
"2485","akhadabalapur","wheat(husked)","Multiplicative"
"2486","basmat","wheat(husked)","Multiplicative"
"2487","hingoli","wheat(husked)","Multiplicative"
"2488","jawala-bajar","wheat(husked)","Multiplicative"
"2489","kalamnuri","wheat(husked)","Multiplicative"
"2490","bhusaval","wheat(husked)","Multiplicative"
"2491","chalisgaon","wheat(husked)","Multiplicative"
"2492","chopda","wheat(husked)","Multiplicative"
"2493","jalgaon","wheat(husked)","Multiplicative"
"2494","raver","wheat(husked)","Multiplicative"
"2495","amalner","wheat(husked)","Multiplicative"
"2496","ambad(vadi godri)","wheat(husked)","Multiplicative"
"2497","bhokardan","wheat(husked)","Multiplicative"
"2498","bhokardan-pimpalgaon renu","wheat(husked)","Multiplicative"
"2499","jafrabad","wheat(husked)","Multiplicative"
"2500","jalna","wheat(husked)","Multiplicative"
"2501","mantha","wheat(husked)","Multiplicative"
"2502","partur","wheat(husked)","Multiplicative"
"2503","ghansawangi","wheat(husked)","Multiplicative"
"2504","jalna-badnapur","wheat(husked)","Multiplicative"
"2505","ausa","wheat(husked)","Multiplicative"
"2506","ahmedpur","wheat(husked)","Multiplicative"
"2507","nilanga","wheat(husked)","Multiplicative"
"2508","jalkot","wheat(husked)","Multiplicative"
"2509","udgir","wheat(husked)","Multiplicative"
"2510","katol","wheat(husked)","Multiplicative"
"2511","mandhal","wheat(husked)","Multiplicative"
"2512","ramtek","wheat(husked)","Multiplicative"
"2513","savner","wheat(husked)","Multiplicative"
"2514","umared","wheat(husked)","Multiplicative"
"2515","bhiwapur","wheat(husked)","Multiplicative"
"2516","nagpur","wheat(husked)","Multiplicative"
"2517","kalmeshwar","wheat(husked)","Multiplicative"
"2518","bhokar","wheat(husked)","Multiplicative"
"2519","loha","wheat(husked)","Multiplicative"
"2520","nanded","wheat(husked)","Multiplicative"
"2521","naigaon","wheat(husked)","Multiplicative"
"2522","dharmabad","wheat(husked)","Multiplicative"
"2523","hadgaon","wheat(husked)","Multiplicative"
"2524","nandurbar","wheat(husked)","Multiplicative"
"2525","shahada","wheat(husked)","Multiplicative"
"2526","taloda","wheat(husked)","Multiplicative"
"2527","devala","wheat(husked)","Multiplicative"
"2528","kalvan","wheat(husked)","Multiplicative"
"2529","lasalgaon","wheat(husked)","Multiplicative"
"2530","malegaon","wheat(husked)","Multiplicative"
"2531","manmad","wheat(husked)","Multiplicative"
"2532","nandgaon","wheat(husked)","Multiplicative"
"2533","satana","wheat(husked)","Multiplicative"
"2534","sinner","wheat(husked)","Multiplicative"
"2535","yeola","wheat(husked)","Multiplicative"
"2536","kalamb (os)","wheat(husked)","Multiplicative"
"2537","murum","wheat(husked)","Multiplicative"
"2538","osmanabad","wheat(husked)","Multiplicative"
"2539","umarga","wheat(husked)","Multiplicative"
"2540","tuljapur","wheat(husked)","Multiplicative"
"2541","jintur","wheat(husked)","Multiplicative"
"2542","jintur-bori","wheat(husked)","Multiplicative"
"2543","parbhani","wheat(husked)","Multiplicative"
"2544","purna","wheat(husked)","Multiplicative"
"2545","sailu","wheat(husked)","Multiplicative"
"2546","sonpeth","wheat(husked)","Multiplicative"
"2547","gangakhed","wheat(husked)","Multiplicative"
"2548","tadkalas","wheat(husked)","Multiplicative"
"2549","pathari","wheat(husked)","Multiplicative"
"2550","baramati","wheat(husked)","Multiplicative"
"2551","dound","wheat(husked)","Multiplicative"
"2552","indapur-bhigwan","wheat(husked)","Multiplicative"
"2553","shirur","wheat(husked)","Multiplicative"
"2554","lonand","wheat(husked)","Multiplicative"
"2555","phaltan","wheat(husked)","Multiplicative"
"2556","koregaon","wheat(husked)","Multiplicative"
"2557","akluj","wheat(husked)","Multiplicative"
"2558","barshi","wheat(husked)","Multiplicative"
"2559","dudhani","wheat(husked)","Multiplicative"
"2560","kurdwadi","wheat(husked)","Multiplicative"
"2561","mangalwedha","wheat(husked)","Multiplicative"
"2562","mohol","wheat(husked)","Multiplicative"
"2563","pandharpur","wheat(husked)","Multiplicative"
"2564","akkolkot","wheat(husked)","Multiplicative"
"2565","bhivandi","wheat(husked)","Multiplicative"
"2566","wardha","wheat(husked)","Multiplicative"
"2567","karanja","wheat(husked)","Multiplicative"
"2568","mangrulpeer","wheat(husked)","Multiplicative"
"2569","manora","wheat(husked)","Multiplicative"
"2570","washim","wheat(husked)","Multiplicative"
"2571","ner parasopant","wheat(husked)","Multiplicative"
"2572","pusad","wheat(husked)","Multiplicative"
"2573","umarkhed","wheat(husked)","Multiplicative"
"2574","umarkhed-danki","wheat(husked)","Multiplicative"
"2575","yeotmal","wheat(husked)","Multiplicative"
"2576","aarni","wheat(husked)","Multiplicative"
"2577","vani","wheat(husked)","Multiplicative"
"2578","murum","wheat(unhusked)","Multiplicative"
"2579","umarga","wheat(unhusked)","Multiplicative"
"2580","tuljapur","wheat(unhusked)","Multiplicative"
"2581","indapur-bhigwan","wheat(unhusked)","Multiplicative"
"2582","sangali","wheat(unhusked)","Multiplicative"
"2583","barshi","wheat(unhusked)","Multiplicative"
"2584","kurdwadi","wheat(unhusked)","Multiplicative"
"2585","mangalwedha","wheat(unhusked)","Multiplicative"
"2586","solapur","wheat(unhusked)","Multiplicative"
"2587","akkolkot","wheat(unhusked)","Multiplicative"
"2588","mohol","wheat(unhusked)","Multiplicative"
"2589","aurangabad","zendu","Multiplicative"
"2590","kamthi","zendu","Multiplicative"
"2591","pune","zendu","Multiplicative"
"2592","amarawati","apple","Multiplicative"
"2593","kolhapur","apple","Multiplicative"
"2594","sangli-phale bhajipalam","apple","Multiplicative"
"2595","solapur","apple","Multiplicative"
"2596","kalyan","apple","Multiplicative"
"2597","kalyan","aster","Multiplicative"
"2598","kolhapur","awala","Multiplicative"
"2599","nagpur","awala","Multiplicative"
"2600","osmanabad","awala","Multiplicative"
"2601","shrigonda","bajri","Multiplicative"
"2602","shrirampur-belapur","bajri","Multiplicative"
"2603","akola","bajri","Multiplicative"
"2604","balapur","bajri","Multiplicative"
"2605","amarawati","bajri","Multiplicative"
"2606","sindkhed raja","bajri","Multiplicative"
"2607","lonar","bajri","Multiplicative"
"2608","dondaicha-sindkheda","bajri","Multiplicative"
"2609","pachora","bajri","Multiplicative"
"2610","parola","bajri","Multiplicative"
"2611","yawal","bajri","Multiplicative"
"2612","ashti (jalna)","bajri","Multiplicative"
"2613","bhokardan","bajri","Multiplicative"
"2614","bhokardan-pimpalgaon renu","bajri","Multiplicative"
"2615","mukhed","bajri","Multiplicative"
"2616","lasalgaon-vinchur","bajri","Multiplicative"
"2617","lohara","bajri","Multiplicative"
"2618","pathari","bajri","Multiplicative"
"2619","manwat","bajri","Multiplicative"
"2620","nira","bajri","Multiplicative"
"2621","indapur (nimgaon ketki)","bajri","Multiplicative"
"2622","nira-saswad","bajri","Multiplicative"
"2623","pune","bajri","Multiplicative"
"2624","kurdwadi-modnimb","bajri","Multiplicative"
"2625","barshi-vairag","bajri","Multiplicative"
"2626","kalyan","bajri","Multiplicative"
"2627","washim","bajri","Multiplicative"
"2628","digras","bajri","Multiplicative"
"2629","shrirampur","banana","Multiplicative"
"2630","sangrampur","banana","Multiplicative"
"2631","kolhapur","banana","Multiplicative"
"2632","ulhasnagar","banana","Multiplicative"
"2633","pune","banana(raw)","Multiplicative"
"2634","digras","batbati","Multiplicative"
"2635","pandharpur","bedana","Multiplicative"
"2636","amarawati","beet root","Multiplicative"
"2637","chandrapur-ganjwad","beet root","Multiplicative"
"2638","kolhapur","beet root","Multiplicative"
"2639","mumbai","beet root","Multiplicative"
"2640","osmanabad","beet root","Multiplicative"
"2641","junnar-otur","beet root","Multiplicative"
"2642","pune-manjri","beet root","Multiplicative"
"2643","kej","bhagar/vari","Multiplicative"
"2644","gevrai","bhagar/vari","Multiplicative"
"2645","shahapur","bhagar/vari","Multiplicative"
"2646","kalyan","bijli","Multiplicative"
"2647","ahmednagar","bitter gourd","Multiplicative"
"2648","rahuri","bitter gourd","Multiplicative"
"2649","amarawati","bitter gourd","Multiplicative"
"2650","chandrapur","bitter gourd","Multiplicative"
"2651","kolhapur","bitter gourd","Multiplicative"
"2652","kalmeshwar","bitter gourd","Multiplicative"
"2653","khed-chakan","bitter gourd","Multiplicative"
"2654","junnar-otur","bitter gourd","Multiplicative"
"2655","palus","bitter gourd","Multiplicative"
"2656","shrirampur","black gram","Multiplicative"
"2657","pathardi","black gram","Multiplicative"
"2658","balapur","black gram","Multiplicative"
"2659","akot","black gram","Multiplicative"
"2660","chandur bajar","black gram","Multiplicative"
"2661","nandgaon khandeshwar","black gram","Multiplicative"
"2662","lasur station","black gram","Multiplicative"
"2663","sillod","black gram","Multiplicative"
"2664","gevrai","black gram","Multiplicative"
"2665","lakhandur","black gram","Multiplicative"
"2666","jalgaon jamod","black gram","Multiplicative"
"2667","sangrampur-varvatbakal","black gram","Multiplicative"
"2668","sengaon","black gram","Multiplicative"
"2669","basmat","black gram","Multiplicative"
"2670","akhadabalapur","black gram","Multiplicative"
"2671","kalamnuri","black gram","Multiplicative"
"2672","jamner","black gram","Multiplicative"
"2673","jamner-neri","black gram","Multiplicative"
"2674","pachora","black gram","Multiplicative"
"2675","latur-murud","black gram","Multiplicative"
"2676","nagpur","black gram","Multiplicative"
"2677","katol","black gram","Multiplicative"
"2678","umared","black gram","Multiplicative"
"2679","mukhed","black gram","Multiplicative"
"2680","mahur","black gram","Multiplicative"
"2681","navapur","black gram","Multiplicative"
"2682","lohara","black gram","Multiplicative"
"2683","purna","black gram","Multiplicative"
"2684","indapur","black gram","Multiplicative"
"2685","indapur-bhigwan","black gram","Multiplicative"
"2686","shirur","black gram","Multiplicative"
"2687","pune-pimpri","black gram","Multiplicative"
"2688","koregaon","black gram","Multiplicative"
"2689","kurdwadi-modnimb","black gram","Multiplicative"
"2690","kalyan","black gram","Multiplicative"
"2691","risod","black gram","Multiplicative"
"2692","malegaon (washim)","black gram","Multiplicative"
"2693","manora","black gram","Multiplicative"
"2694","digras","black gram","Multiplicative"
"2695","aarni","black gram","Multiplicative"
"2696","rahuri","bor","Multiplicative"
"2697","amarawati","bor","Multiplicative"
"2698","chandrapur","bor","Multiplicative"
"2699","kolhapur","bor","Multiplicative"
"2700","sangli-phale bhajipalam","bor","Multiplicative"
"2701","kurdwadi-modnimb","bor","Multiplicative"
"2702","ahmednagar","bottle gourd","Multiplicative"
"2703","kolhapur","bottle gourd","Multiplicative"
"2704","kalmeshwar","bottle gourd","Multiplicative"
"2705","ramtek","bottle gourd","Multiplicative"
"2706","khed-chakan","bottle gourd","Multiplicative"
"2707","shahapur","bottle gourd","Multiplicative"
"2708","ahmednagar","brinjal","Multiplicative"
"2709","rahuri","brinjal","Multiplicative"
"2710","chandrapur","brinjal","Multiplicative"
"2711","kolhapur","brinjal","Multiplicative"
"2712","navapur","brinjal","Multiplicative"
"2713","khed-chakan","brinjal","Multiplicative"
"2714","junnar-otur","brinjal","Multiplicative"
"2715","palus","brinjal","Multiplicative"
"2716","daryapur","buffalo","Multiplicative"
"2717","jalgaon","bullock heart","Multiplicative"
"2718","kolhapur","bullock heart","Multiplicative"
"2719","rahata","cabbage","Multiplicative"
"2720","ahmednagar","cabbage","Multiplicative"
"2721","rahuri","cabbage","Multiplicative"
"2722","amarawati","cabbage","Multiplicative"
"2723","chandrapur","cabbage","Multiplicative"
"2724","chalisgaon","cabbage","Multiplicative"
"2725","kolhapur","cabbage","Multiplicative"
"2726","ramtek","cabbage","Multiplicative"
"2727","kalmeshwar","cabbage","Multiplicative"
"2728","navapur","cabbage","Multiplicative"
"2729","khed-chakan","cabbage","Multiplicative"
"2730","khed","cabbage","Multiplicative"
"2731","junnar-otur","cabbage","Multiplicative"
"2732","barshi","cabbage","Multiplicative"
"2733","ahmednagar","capsicum","Multiplicative"
"2734","rahuri","capsicum","Multiplicative"
"2735","chandrapur","capsicum","Multiplicative"
"2736","kolhapur","capsicum","Multiplicative"
"2737","ramtek","capsicum","Multiplicative"
"2738","ghoti","capsicum","Multiplicative"
"2739","pune-pimpri","capsicum","Multiplicative"
"2740","khed-chakan","capsicum","Multiplicative"
"2741","junnar-otur","capsicum","Multiplicative"
"2742","barshi","capsicum","Multiplicative"
"2743","shahapur","capsicum","Multiplicative"
"2744","shrirampur","carrot","Multiplicative"
"2745","ahmednagar","carrot","Multiplicative"
"2746","rahuri","carrot","Multiplicative"
"2747","amarawati","carrot","Multiplicative"
"2748","chandrapur","carrot","Multiplicative"
"2749","kolhapur","carrot","Multiplicative"
"2750","ramtek","carrot","Multiplicative"
"2751","khed-chakan","carrot","Multiplicative"
"2752","pune-manjri","carrot","Multiplicative"
"2753","palus","carrot","Multiplicative"
"2754","vai","carrot","Multiplicative"
"2755","kalyan","carrot","Multiplicative"
"2756","ahmednagar","castor seed","Multiplicative"
"2757","achalpur","castor seed","Multiplicative"
"2758","sillod","castor seed","Multiplicative"
"2759","vaijapur","castor seed","Multiplicative"
"2760","gevrai","castor seed","Multiplicative"
"2761","kille dharur","castor seed","Multiplicative"
"2762","akhadabalapur","castor seed","Multiplicative"
"2763","basmat","castor seed","Multiplicative"
"2764","jafrabad","castor seed","Multiplicative"
"2765","ausa","castor seed","Multiplicative"
"2766","ahmedpur","castor seed","Multiplicative"
"2767","umared","castor seed","Multiplicative"
"2768","nagpur","castor seed","Multiplicative"
"2769","bhokar","castor seed","Multiplicative"
"2770","nandurbar","castor seed","Multiplicative"
"2771","taloda","castor seed","Multiplicative"
"2772","sinner","castor seed","Multiplicative"
"2773","devala","castor seed","Multiplicative"
"2774","umarga","castor seed","Multiplicative"
"2775","purna","castor seed","Multiplicative"
"2776","indapur-bhigwan","castor seed","Multiplicative"
"2777","kurdwadi","castor seed","Multiplicative"
"2778","kalyan","chandani","Multiplicative"
"2779","chandrapur","chavli (pala)","Multiplicative"
"2780","ramtek","chavli (pala)","Multiplicative"
"2781","chandrapur","chavli (shenga )","Multiplicative"
"2782","kolhapur","chavli (shenga )","Multiplicative"
"2783","mumbai","chavli (shenga )","Multiplicative"
"2784","khed (shel pimpalgaon)","chavli (shenga )","Multiplicative"
"2785","khed-chakan","chavli (shenga )","Multiplicative"
"2786","junnar-otur","chavli (shenga )","Multiplicative"
"2787","kopargaon","chikoo","Multiplicative"
"2788","rahuri","chikoo","Multiplicative"
"2789","amarawati","chikoo","Multiplicative"
"2790","jalgaon","chikoo","Multiplicative"
"2791","kolhapur","chikoo","Multiplicative"
"2792","sangli-phale bhajipalam","chikoo","Multiplicative"
"2793","barshi","chikoo","Multiplicative"
"2794","kalyan","chikoo","Multiplicative"
"2795","ahmednagar","chillies(red)","Multiplicative"
"2796","amarawati","chillies(red)","Multiplicative"
"2797","armori","chillies(red)","Multiplicative"
"2798","ramtek","chillies(red)","Multiplicative"
"2799","indapur","chillies(red)","Multiplicative"
"2800","pune-pimpri","chillies(red)","Multiplicative"
"2801","shirur","chillies(red)","Multiplicative"
"2802","indapur (nimgaon ketki)","chillies(red)","Multiplicative"
"2803","pathardi","chino","Multiplicative"
"2804","nandgaon khandeshwar","chino","Multiplicative"
"2805","shrirampur","cluster bean","Multiplicative"
"2806","ahmednagar","cluster bean","Multiplicative"
"2807","amarawati","cluster bean","Multiplicative"
"2808","chalisgaon","cluster bean","Multiplicative"
"2809","kolhapur","cluster bean","Multiplicative"
"2810","mumbai","cluster bean","Multiplicative"
"2811","kalmeshwar","cluster bean","Multiplicative"
"2812","ramtek","cluster bean","Multiplicative"
"2813","khed-chakan","cluster bean","Multiplicative"
"2814","pandharpur","cluster bean","Multiplicative"
"2815","akluj","cluster bean","Multiplicative"
"2816","ahmednagar","coriander","Multiplicative"
"2817","amarawati","coriander","Multiplicative"
"2818","kolhapur","coriander","Multiplicative"
"2819","navapur","coriander","Multiplicative"
"2820","khed","coriander","Multiplicative"
"2821","vai","coriander","Multiplicative"
"2822","kalyan","coriander","Multiplicative"
"2823","ahmednagar","coriander (dry)","Multiplicative"
"2824","sangamner","coriander (dry)","Multiplicative"
"2825","bhandara","coriander (dry)","Multiplicative"
"2826","yawal","coriander (dry)","Multiplicative"
"2827","mumbai","coriander (dry)","Multiplicative"
"2828","bhiwapur","coriander (dry)","Multiplicative"
"2829","mandhal","coriander (dry)","Multiplicative"
"2830","ramtek","coriander (dry)","Multiplicative"
"2831","devala","coriander (dry)","Multiplicative"
"2832","pune","coriander (dry)","Multiplicative"
"2833","shirur","coriander (dry)","Multiplicative"
"2834","kalyan","coriander (dry)","Multiplicative"
"2835","sangamner","cotton","Multiplicative"
"2836","akot","cotton","Multiplicative"
"2837","barshi takli","cotton","Multiplicative"
"2838","amarawati","cotton","Multiplicative"
"2839","dharni","cotton","Multiplicative"
"2840","tiwasa","cotton","Multiplicative"
"2841","soygaon","cotton","Multiplicative"
"2842","khultabad","cotton","Multiplicative"
"2843","fulambri","cotton","Multiplicative"
"2844","pombhurni","cotton","Multiplicative"
"2845","shirpur","cotton","Multiplicative"
"2846","hingoli","cotton","Multiplicative"
"2847","narkhed","cotton","Multiplicative"
"2848","mandhal","cotton","Multiplicative"
"2849","hadgaon-tamsa","cotton","Multiplicative"
"2850","himayatnagar","cotton","Multiplicative"
"2851","manwat","cotton","Multiplicative"
"2852","atpadi","cotton","Multiplicative"
"2853","ashti (wardha)","cotton","Multiplicative"
"2854","hinganghat","cotton","Multiplicative"
"2855","babhulgaon","cotton","Multiplicative"
"2856","ahmednagar","cowpea","Multiplicative"
"2857","shrirampur","cowpea","Multiplicative"
"2858","amalner","cowpea","Multiplicative"
"2859","nandurbar","cowpea","Multiplicative"
"2860","shahada","cowpea","Multiplicative"
"2861","dound","cowpea","Multiplicative"
"2862","ahmednagar","cucumber","Multiplicative"
"2863","rahuri","cucumber","Multiplicative"
"2864","amarawati","cucumber","Multiplicative"
"2865","chandrapur","cucumber","Multiplicative"
"2866","kolhapur","cucumber","Multiplicative"
"2867","chandvad","cucumber","Multiplicative"
"2868","khed-chakan","cucumber","Multiplicative"
"2869","junnar-otur","cucumber","Multiplicative"
"2870","kalyan","cucumber","Multiplicative"
"2871","rahata","curry leaves","Multiplicative"
"2872","pune-pimpri","curry leaves","Multiplicative"
"2873","ahmednagar","custard apple","Multiplicative"
"2874","amarawati","custard apple","Multiplicative"
"2875","kolhapur","custard apple","Multiplicative"
"2876","nagpur","custard apple","Multiplicative"
"2877","ramtek","custard apple","Multiplicative"
"2878","sangli-phale bhajipalam","custard apple","Multiplicative"
"2879","rahata","dhemse","Multiplicative"
"2880","amarawati","dhemse","Multiplicative"
"2881","chandrapur","dhemse","Multiplicative"
"2882","chandrapur-ganjwad","dhemse","Multiplicative"
"2883","ramtek","dhemse","Multiplicative"
"2884","nashik","dhemse","Multiplicative"
"2885","pune-manjri","double bee","Multiplicative"
"2886","ramtek","elephant root","Multiplicative"
"2887","khed-chakan","farshi","Multiplicative"
"2888","junnar-otur","farshi","Multiplicative"
"2889","vaijapur","fenugreek","Multiplicative"
"2890","devala","fenugreek","Multiplicative"
"2891","pune","fig","Multiplicative"
"2892","ahmednagar","flower","Multiplicative"
"2893","rahuri","flower","Multiplicative"
"2894","amarawati","flower","Multiplicative"
"2895","chandrapur","flower","Multiplicative"
"2896","chalisgaon","flower","Multiplicative"
"2897","kolhapur","flower","Multiplicative"
"2898","ramtek","flower","Multiplicative"
"2899","navapur","flower","Multiplicative"
"2900","khed-chakan","flower","Multiplicative"
"2901","junnar-otur","flower","Multiplicative"
"2902","islampur","flower","Multiplicative"
"2903","palus","flower","Multiplicative"
"2904","manchar","french bean","Multiplicative"
"2905","ahmednagar","garlic","Multiplicative"
"2906","chandrapur","garlic","Multiplicative"
"2907","kolhapur","garlic","Multiplicative"
"2908","ramtek","garlic","Multiplicative"
"2909","sinner","garlic","Multiplicative"
"2910","pune-pimpri","garlic","Multiplicative"
"2911","junnar","garlic","Multiplicative"
"2912","sangli-phale bhajipalam","garlic","Multiplicative"
"2913","jintur","ghee","Multiplicative"
"2914","ahmednagar","ghevda","Multiplicative"
"2915","kolhapur","ghevda","Multiplicative"
"2916","junnar-otur","ghevda","Multiplicative"
"2917","palus","ghevda","Multiplicative"
"2918","murbad","ghevda","Multiplicative"
"2919","nira-saswad","ghevda seed","Multiplicative"
"2920","shrirampur","ghosali(bhaji)","Multiplicative"
"2921","ahmednagar","ghosali(bhaji)","Multiplicative"
"2922","nagpur","ghosali(bhaji)","Multiplicative"
"2923","nashik","ghosali(bhaji)","Multiplicative"
"2924","lasur station","ginger (dry)","Multiplicative"
"2925","nagpur","ginger (dry)","Multiplicative"
"2926","pune-pimpri","ginger (dry)","Multiplicative"
"2927","pandharpur","ginger (dry)","Multiplicative"
"2928","ahmednagar","ginger (fresh)","Multiplicative"
"2929","kannad","ginger (fresh)","Multiplicative"
"2930","lasur station","ginger (fresh)","Multiplicative"
"2931","chandrapur","ginger (fresh)","Multiplicative"
"2932","kolhapur","ginger (fresh)","Multiplicative"
"2933","ramtek","ginger (fresh)","Multiplicative"
"2934","navapur","ginger (fresh)","Multiplicative"
"2935","pune-pimpri","ginger (fresh)","Multiplicative"
"2936","palus","ginger (fresh)","Multiplicative"
"2937","sangli-phale bhajipalam","ginger (fresh)","Multiplicative"
"2938","vai","goosefoot","Multiplicative"
"2939","solapur","goosefoot","Multiplicative"
"2940","pune-pimpri","gr.nut kernels","Multiplicative"
"2941","kurdwadi","gr.nut kernels","Multiplicative"
"2942","kalyan","gr.nut kernels","Multiplicative"
"2943","ulhasnagar","gr.nut kernels","Multiplicative"
"2944","jamkhed","gram","Multiplicative"
"2945","shrirampur-belapur","gram","Multiplicative"
"2946","shrigonda","gram","Multiplicative"
"2947","akot","gram","Multiplicative"
"2948","balapur","gram","Multiplicative"
"2949","chandur rly.","gram","Multiplicative"
"2950","sillod-bharadi","gram","Multiplicative"
"2951","kada (ashti)","gram","Multiplicative"
"2952","kej","gram","Multiplicative"
"2953","lakhandur","gram","Multiplicative"
"2954","sangrampur-varvatbakal","gram","Multiplicative"
"2955","korpana","gram","Multiplicative"
"2956","rajura","gram","Multiplicative"
"2957","varora","gram","Multiplicative"
"2958","basmat","gram","Multiplicative"
"2959","hingoli","gram","Multiplicative"
"2960","sengaon","gram","Multiplicative"
"2961","jawala-bajar","gram","Multiplicative"
"2962","pachora","gram","Multiplicative"
"2963","parola","gram","Multiplicative"
"2964","bhokardan","gram","Multiplicative"
"2965","ghansawangi","gram","Multiplicative"
"2966","jafrabad","gram","Multiplicative"
"2967","ambad(vadi godri)","gram","Multiplicative"
"2968","ashti (jalna)","gram","Multiplicative"
"2969","kolhapur-laxmipuri","gram","Multiplicative"
"2970","aurad shahajani","gram","Multiplicative"
